code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
BilateralSlice,repo,README.md,4,4,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/hdrnet/ops/bilateral_slice_op.cc#L39
BilateralSliceApply,repo,README.md,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/hdrnet/ops/bilateral_slice_apply_op.cc#L42
CPU,repo,README.md,8,8,8,8,8,8,10,10,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/scripts/extra_figures/compare_to_unet.py#L95
GPU,repo,README.md,4,4,4,4,4,4,6,6,6,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/hdrnet/ops/bilateral_slice_op.cc#L77
HDR,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/hdrnet/data_pipeline.py#L245
OpenGL,repo,README.md,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/5ac95efbfa3c680649a823d992876f2f142cc7e4/benchmark/src/renderer.cc#L42
RGB,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/hdrnet/bin/run.py#L150
TF,repo,README.md,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/5ac95efbfa3c680649a823d992876f2f142cc7e4/hdrnet/utils.py#L14
WORKSPACE,repo,README.md,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/5ac95efbfa3c680649a823d992876f2f142cc7e4/.gitignore#L10
checkpoint_dir,repo,README.md,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,https://github.com/google/hdrnet/blob/9395b9e20aa541a5866ecdea924055e56ab778ef/README.md,https://github.com/google/hdrnet/blob/7f71f4442789b6f73fbeee0c87f001f4df141b6e/scripts/usm/train_std.sh#L17
