code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,doc_link,source_link
.gn,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/intellij-gn-plugin/blob/49b800692c1a7a6fc1b05544f106092b485def14/README.md,https://github.com/google/intellij-gn-plugin/blob/3c9d9ee4ee1ee0473301f356bcc973776bd4d86a/src/main/resources/META-INF/plugin.xml#L22
GN,repo,README.md,-,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/intellij-gn-plugin/blob/49b800692c1a7a6fc1b05544f106092b485def14/README.md,https://github.com/google/intellij-gn-plugin/blob/3c9d9ee4ee1ee0473301f356bcc973776bd4d86a/src/test/testData/simpleParseCheck.txt#L1
TODO,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/intellij-gn-plugin/blob/49b800692c1a7a6fc1b05544f106092b485def14/README.md,https://github.com/google/intellij-gn-plugin/blob/50df0c7b308dd712d3ad03980411d218d267394b/src/main/java/com/google/idea/gn/psi/builtin/SetDefaultToolchain.kt#L13
gni,repo,README.md,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/intellij-gn-plugin/blob/49b800692c1a7a6fc1b05544f106092b485def14/README.md,https://github.com/google/intellij-gn-plugin/blob/543b6eb6de71c8a4cb3b52ee04f4ccbe6532b5a9/src/main/resources/META-INF/plugin.xml#L29
