code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,doc_link,source_link
--cxxopt='-std=c++17',repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/workspace.bzl#L44
.bazelrc,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/workspace.bzl#L45
@com_google_absl//absl/status:statusor,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/BUILD.bazel#L79
@com_google_absl//absl/types:optional,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/4cc28123aaf4ff01138b11f111de4d8d0a54c3ea/ink_stroke_modeler/internal/prediction/BUILD.bazel#L54
BUILD,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,code_element is a file name
BazelTest,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/.github/workflows/bazel-test.yaml#L2
CMakeLists.txt,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,code_element is a file name
CMakeTest,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/.github/workflows/cmake-test.yaml#L2
EventType,repo,README.md,.,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,59,59,59,59,63,63,63,63,63,63,64,61,61,61,61,64,64,64,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types_test.cc#L202
GitHub,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/_config.yml#L1
