code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
DAG,repo,README.md,3,3,4,4,4,4,4,4,4,4,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/deploy.sh#L126
ID,repo,README.md,13,13,13,13,13,13,13,13,13,13,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_views.sql#L22
LineItem,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_table.sql#L192
bq_dataset,repo,README.md,3,4,4,4,4,4,4,4,4,4,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L3
cloud_project_id,repo,README.md,8,9,9,9,9,9,9,9,9,9,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L2
composer_gcs_bucket,repo,README.md,1,2,2,2,2,2,2,2,2,2,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L4
composer_location,repo,README.md,1,2,2,2,2,2,2,2,2,2,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L7
composer_zone,repo,README.md,1,2,2,2,2,2,2,2,2,2,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L8
environment_name,repo,README.md,-,-,3,3,3,3,3,3,3,3,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L6
install_composer,repo,README.md,2,3,3,3,3,3,3,3,3,3,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/spindle.config#L5
partner_ids,repo,README.md,6,6,6,6,6,6,6,6,6,6,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/deploy.sh#L95
report_date,repo,README.md,-,-,2,2,2,2,2,2,2,2,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_table.sql#L181
spindle.config,repo,README.md,1,2,2,2,2,2,2,2,2,2,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/deploy.sh#L152
spindle_advertiser_view,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_views.sql#L59
spindle_campaign_view,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_views.sql#L98
spindle_lineitem_view,repo,README.md,4,4,4,4,4,4,4,4,4,4,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_views.sql#L52
spindle_partner_view,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/README.md,https://github.com/google/spindle-dv360/blob/8bba2f339d6cc802c2c16523eeb6066c4635664b/queries/create_views.sql#L22
