code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
ACTION,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L19
AIStreamer,repo,README.md,25,25,27,27,27,27,28,28,28,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/ingestion/documentation/shot.md#L1
AN,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L19
AND,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L17
ANY,repo,README.md,70,70,76,76,76,76,92,92,92,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L15
API,repo,README.md,-,-,-,-,-,-,44,44,44,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/ingestion/proto/video_intelligence_streaming.proto#L65
ARISING,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L19
AS,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L15
AUTHORS,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L17
BE,repo,README.md,35,35,38,38,38,38,46,46,46,https://github.com/google/aistreamer/blob/0f4db4d186cb2f0a59e0dd060569417d6eb9f478/README.md,https://github.com/google/aistreamer/blob/d60303a8d2f0ea53b56b0eedda64b1a8cff88b0b/vfp/visualize_annotation.py#L18
