code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
CSV,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/print/print.go#L25
FilesTotal,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/pr.go#L153
GitHub,repo,README.md,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/review_comments.go#L77
GoogleContainerTools,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/server/site/template/home.html#L61
HTML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/leaderboard/leaderboard.go#L61
IssueAuthor,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/issue_comments.go#L35
IssueState,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/issue_comments.go#L36
PR,repo,README.md,6,6,8,9,13,13,13,13,12,12,12,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/review_comments.go#L37
PRAuthor,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/review_comments.go#L43
PRComments,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/review_comments.go#L44
PRSummary,repo,README.md,3,3,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/c05643f6d3ead61ab0f8d6e97fd2edc66f6ed7b4/pkg/repo/pr.go#L283
ReviewComments,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/repo/review_comments.go#L45
URL,repo,README.md,4,4,4,4,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/pullsheet/blob/d5e79aa418fb29560bafb63faa8addd752e1115e/README.md,https://github.com/google/pullsheet/blob/e1fc2e6d5897d3f62e7217e11111cd6f1c436180/pkg/server/server.go#L70
