code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,doc_link,source_link
**,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_dict/tests/config_dict_test.py#L660
.ConfigDict(),repo,README.md,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,69,69,69,69,69,69,69,69,69,69,69,70,69,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_flags/tests/fieldreference_config.py#L21
.FrozenConfigDict(cfg),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_dict/tests/frozen_config_dict_test.py#L266
.FrozenConfigDict(initial_dictionary),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_dict/tests/frozen_config_dict_test.py#L61
.eq_as_configdict(),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_dict/tests/config_dict_test.py#L587
.items(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_dict/tests/config_dict_test.py#L443
.lock(),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_flags/config_flags.py#L169
.placeholder(int),repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_flags/tests/fieldreference_config.py#L23
==,repo,README.md,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,135,135,135,135,135,135,136,136,136,136,136,135,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,147,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_flags/tests/dataclass_overriding_test.py#L206
AttributeError,repo,README.md,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,https://github.com/google/ml_collections/blob/36dc737d3075d2335dc292e6c852db4da0866346/README.md,https://github.com/google/ml_collections/blob/4a0cabecd7f043075d85b710f6013bbb3cc354cb/ml_collections/config_flags/tests/configdict_config.py#L41
