code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,doc_link,source_link
2D,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,22,22,22,22,22,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/vignettes/synergyfinder-engineered.Rnw#L123
3D,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,10,10,10,10,10,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/vignettes/synergyfinder-engineered.Rnw#L121
DESCRIPTION,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,code_element is a file name
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,13,13,13,13,13,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/R/mathews_screening_data.R#L4
NAMESPACE,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,code_element is a file name
NULL,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,49,49,49,49,49,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/tests/testthat/test_Plot_synergy.R#L10
PDF,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/R/Plot_synergy.R#L18
PlotSynergy,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,17,17,17,17,17,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/vignettes/synergyfinder-engineered.Rnw#L121
SpatialExtremes,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,6,6,6,6,6,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/R/Plot_synergy.R#L8
dev.off(),repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/synergyfinderengineered/blob/c06ba66a16b6d6ebddf1f06fa82d5f8aaaf88da9/README.md,https://github.com/google/synergyfinderengineered/blob/64876b193d5cba140a1fee57bccf242d29d51f74/R/Plot_synergy.R#L92
