code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,doc_link,source_link
BigQuery,repo,README.md,20,24,24,26,31,44,48,48,48,48,48,48,48,48,48,48,48,49,49,49,51,51,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/gae/settings.py#L206
GitHub,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/gae/lib/bit9/README.md#L118
VirusTotal,repo,README.md,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,38,38,38,38,38,38,38,38,38,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/shared/constants.py#L459
macOS,repo,README.md,10,12,12,12,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,19,19,19,31,31,31,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/shared/constants.py#L151
upvote_app,repo,README.md,108,108,108,111,106,96,94,94,94,94,75,75,75,75,76,60,60,60,60,60,61,60,60,60,60,60,60,60,62,73,73,73,68,68,68,67,67,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/monitoring/metrics.py#L85
upvote_logo,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/gae/modules/upvote_app/frontend/web_ui/static/upvote_logo.svg#L18
web_ui,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/README.md,https://github.com/google/upvote_py2/blob/51606947641763489db31bffcb934e8112eb5a08/upvote/gae/modules/upvote_app/frontend/BUILD#L53
