code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
HTML,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/1c55b70a0966c5ded0e3e60a55737a80da49ef61/pkg/web/web.go#L17
"MustStartFromEnv(""STACKLOG_PATH"")",repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/cmd/slowjam/slowjam.go#L45
STACKLOG_PATH,repo,README.md,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,code_element is a file name
SlowJam,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/pkg/web/web.go#L94
example/minikube.html,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,code_element is a file name
main(),repo,README.md,-,-,-,-,-,-,1,1,1,1,1,349,349,349,349,349,349,349,349,231,231,231,231,231,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/example/minikube.slog#L43
s.Stop(),repo,README.md,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/pkg/stacklog/stacklog.go#L98
slowjam,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,3490,3490,3492,3492,3492,3492,2312,2312,2312,2312,2312,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/pkg/web/web.go#L29
stack.log,repo,README.md,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/1c8f887c096067752487432f4a424296c157992b/pkg/stacklog/stacklog.go#L39
stacklog,repo,README.md,-,-,-,-,-,-,12,12,12,12,12,5234,5234,5234,5234,5234,5234,5233,5233,3463,3463,3463,3463,3463,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/README.md,https://github.com/google/slowjam/blob/ebaf390366a8ca328c1a535da9dc8d0f03185296/pkg/stackparse/timeline.go#L31
