code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
API,repo,README.md,17,18,18,18,18,18,18,18,18,18,18,18,18,75,75,75,92,92,122,122,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/spreadsheet-weather-based-marketing/tests/anyapi.test.js#L49
GitHub,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/docs/contributing.md#L21
ID,repo,README.md,-,16,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/openweather-based-bidding/create-example-tables.gs#L77
JavaScript,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/spreadsheet-weather-based-marketing/classes/strategy.gs#L271
Latitude,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/openweather-based-bidding/create-example-tables.gs#L78
Longitude,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/openweather-based-bidding/create-example-tables.gs#L79
OpenWeather,repo,README.md,3,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/openweather-based-bidding/main.gs#L36
OpenWeatherMap,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/spreadsheet-weather-based-marketing/classes/strategies/openweatherapi.gs#L18
URL,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/openweather-based-bidding/classes/utils.gs#L22
monitorWeatherAndSyncWithDV360,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,https://github.com/google/dv360-api/blob/0d4a7754f09a04a916f178d13f7913f962f0807d/README.md,https://github.com/google/dv360-api/blob/9d845ea36a4c8df59995214ac1344e7ff4f824ec/openweather-based-bidding/main.gs#L27
