code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
NVDA,repo,README.md,0,2,3,3,3,3,3,https://github.com/google/blockly-experimental/blob/1e3be2acae63c38fdd2121b3fcab85916f74a7d4/README.md,https://github.com/google/blockly-experimental/blob/1e3be2acae63c38fdd2121b3fcab85916f74a7d4/demos/accessible/index.html#L45
accessible,repo,README.md,-,-,51,51,51,51,51,https://github.com/google/blockly-experimental/blob/1e3be2acae63c38fdd2121b3fcab85916f74a7d4/README.md,https://github.com/google/blockly-experimental/blob/1e3be2acae63c38fdd2121b3fcab85916f74a7d4/demos/accessible/index.html#L7
core,repo,README.md,-,-,174,174,174,174,174,https://github.com/google/blockly-experimental/blob/1e3be2acae63c38fdd2121b3fcab85916f74a7d4/README.md,https://github.com/google/blockly-experimental/blob/1e3be2acae63c38fdd2121b3fcab85916f74a7d4/build.py#L2
