code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
DefaultImmutables,repo,README.md,2,2,2,2,2,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_vm_test.dart#L59
Foo,repo,README.md,33,33,33,33,33,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_vm_test.dart#L20
Immutable,repo,README.md,50,50,50,50,50,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_vm_test.dart#L28
Immutables(),repo,README.md,4,4,4,4,4,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_vm_test.dart#L65
ImmutablesModule(),repo,README.md,4,4,4,4,4,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/default_immutables_vm_test.dart#L44
Iterable,repo,README.md,14,14,14,14,14,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_iterable_vm_test.dart#L30
List,repo,README.md,20,20,20,20,20,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_list_vm_test.dart#L30
Map,repo,README.md,16,16,16,16,16,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_map_vm_test.dart#L30
ModuleInjector,repo,README.md,2,2,2,2,2,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/default_immutables_vm_test.dart#L43
TODO(ochafik),repo,README.md,2,2,2,2,2,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/lib/src/flags.dart#L48
bindWrappers,repo,README.md,5,5,5,5,5,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/default_immutables_vm_test.dart#L45
breakoutPredicates,repo,README.md,2,2,2,2,2,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/lib/src/default_immutables.dart#L40
expect((),repo,README.md,11,11,11,11,11,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_vm_test.dart#L54
immutableWrappersDisabled,repo,README.md,8,8,8,8,8,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/lib/src/module.dart#L46
main(),repo,README.md,5,5,5,5,5,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_vm_test.dart#L40
map,repo,README.md,5,5,5,5,5,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/README.md,https://github.com/google/dart-immutables/blob/4a09eaf827a94f98e071f7e9538f036cf2174866/test/immutable_map_vm_test.dart#L30
