code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
.dart_tool/cronet/linux64,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/third_party/cronet_sample/CMakeLists.txt#L20
.so,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/lib/src/constants.dart#L36
API,repo,README.md,0,0,27,28,28,28,29,29,29,29,30,30,30,30,30,30,30,32,32,32,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/third_party/dart-sdk/dart_tools_api.h#L10
AndroidManifest.xml,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,code_element is a file name
CLI,repo,README.md,-,-,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/README.md#L4
HTTP,repo,README.md,-,-,-,-,-,-,12,12,12,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/80df427febd8eedd433374cfad6e99519f9990ba/third_party/cronet_sample/sample_url_request_callback.cc#L34
HttpClient(),repo,README.md,-,-,11,11,11,11,15,15,15,15,17,17,18,18,18,19,20,20,20,20,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/test/http_responses_test.dart#L20
MacOS,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/CHANGELOG.md#L44
SDK,repo,README.md,-,-,-,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/third_party/dart-sdk/dart_api_dl.c#L48
VS,repo,README.md,-,-,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/.gitignore#L19
