code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
EK,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/verification/verification.go#L49
PCR,repo,README.md,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,20,20,20,20,20,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/verification/verification.go#L589
TPM,repo,README.md,44,44,44,44,44,45,46,48,52,52,52,55,55,55,55,55,55,55,55,55,55,55,57,58,58,58,58,58,60,62,62,62,62,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/verification/verification.go#L53
TSPI,repo,README.md,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/tpmclient/tpmclient.go#L100
attestation.GetEKCert(context),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/tpmd/tpmd.go#L89
context.GetTPM(),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/tpmown/tpmown.go#L44
tpm.GetEventLog(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/tpmd/tpmd.go#L326
tspi.NewContext(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-tspi/blob/b8e1ee1725cb319532514df3bf5dddc7cef75f88/README.md,https://github.com/google/go-tspi/blob/fc816570415963803837d709e0a76b6e4e921b4d/tpmown/tpmown.go#L38
