code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
AND,repo,README.md,3,3,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/LICENSE#L6
API,repo,README.md,8,8,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/apps_script/Utils.js#L21
CSV,repo,README.md,7,-,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/a74b88965fe9472e149acf85541e50d6b889da57/apps_script/Utils.js#L77
GCP,repo,README.md,-,1,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/apps_script/ConfigDataHandler.js#L72
GCP_ID,repo,README.md,-,1,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/cloud_function/main.py#L35
HTTP,repo,README.md,-,6,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/cloud_function/main.py#L28
ID,repo,README.md,-,24,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/apps_script/DataUpload.js#L29
SFTP,repo,README.md,21,21,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/cloud_function/main.py#L17
URL,repo,README.md,-,3,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/apps_script/Utils.js#L22
send_file,repo,README.md,-,1,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/README.md,https://github.com/google/sa360-bulk-editor/blob/1ee2f1e038174fb95ca597be6b5278101225a33b/cloud_function/main.py#L25
