code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
ANY,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L147
AS,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L146
BASIS,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L146
BSD,repo,README.md,-,-,-,.,1,0,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/486b6c7f16c1545997a240ae8f14aa3097548b77/cross-edits-analysis/README.md#L9
CONDITIONS,repo,README.md,4,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L6
GPL,repo,README.md,-,-,-,.,6,2,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/cross-edits-analysis/data/1023/segment-00017-of-00037.json#L7
GitHub,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/docs/contributing.md#L21
IS,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L146
KIND,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L147
LICENSE,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L196
OF,repo,README.md,3,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L147
OR,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L147
PSF,repo,README.md,-,-,-,.,1,0,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/486b6c7f16c1545997a240ae8f14aa3097548b77/cross-edits-analysis/README.md#L10
WARRANTIES,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L147
WITHOUT,repo,README.md,2,-,-,.,-,-,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/33eb33106e4316c129c8039dda7fbd2bd9e1772b/LICENSE#L147
article_analytics,repo,README.md,-,-,-,.,3,1,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/cross-edits-analysis/engine.py#L80
author_analytics,repo,README.md,-,-,-,.,3,0,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/486b6c7f16c1545997a240ae8f14aa3097548b77/cross-edits-analysis/author_analytics.py#L25
cross_edits_tmp_ttl,repo,README.md,-,-,-,.,4,0,https://github.com/google/wikiloop-analysis/blob/866b8ea02b5963bb7c2a6afad6889fe4f15db77b/README.md,https://github.com/google/wikiloop-analysis/blob/486b6c7f16c1545997a240ae8f14aa3097548b77/cross-edits-analysis/README.md#L14
