code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,doc_link,source_link
.test_name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,20,20,23,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L27
CONTRIBUTING.md,repo,README.md,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/.Rbuildignore#L3
CRAN,repo,README.md,-,-,-,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,5,5,5,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/revdep/failures.md#L24
DESCRIPTION,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/NEWS.md#L22
DNRY,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/patrick-package.Rd#L11
GitHub,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/revdep/failures.md#L6
cos(pi / 4),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L50
"expect_equal(expr, numeric_value)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L48
function(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,4,4,4,4,4,4,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L66
make_cases,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L69
