code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,doc_link,source_link
<dependencies>,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/pom.xml#L52
@EventHandler,repo,README.md,.,.,.,.,.,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/test/java/com/google/web/bindery/event/shared/binder/EventBinderTest.java#L154
API,repo,README.md,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/impl/GenericEventHandler.java#L22
EventBinder,repo,README.md,.,.,.,.,.,25,33,33,33,33,33,33,34,34,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,39,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/pom.xml#L14
EventBus,repo,README.md,.,.,.,.,.,20,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/pom.xml#L15
EventOne,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/EventHandler.java#L67
EventTwo,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/EventHandler.java#L68
GWT,repo,README.md,.,.,.,.,.,3,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/pom.xml#L15
GWT.create(MyEventBinder.class),repo,README.md,.,.,.,.,.,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/EventBinder.java#L35
GenericEvent,repo,README.md,.,.,.,.,.,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,46,46,46,46,46,46,46,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/test/java/com/google/web/bindery/event/shared/binder/EventBinderTest.java#L170
