code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,doc_link,source_link
ANY,repo,README.md,2,2,3,3,3,3,3,3,4,4,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,13,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L11
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/3-analyze-data/sql/bq_to_sheet.py#L19
AS,repo,README.md,2,2,3,3,3,3,5,5,6,6,7,7,7,11,13,13,13,13,13,13,13,13,13,13,13,13,15,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L10
BASIS,repo,README.md,2,2,3,3,3,3,3,3,4,4,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,13,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L10
CONDITIONS,repo,README.md,4,4,5,5,5,5,5,5,6,6,7,7,7,11,13,13,13,13,13,13,13,13,13,13,13,13,15,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L11
EcoSystem,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/.github/ISSUE_TEMPLATE/data-source-recommendation.md#L16
GB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/3-analyze-data/sql/Ex_Bigquery_SQL_Info.md#L41
IS,repo,README.md,2,2,3,3,3,3,3,3,4,4,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,13,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L10
KIND,repo,README.md,2,2,3,3,3,3,3,3,4,4,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,13,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L11
LICENSE,repo,README.md,2,2,3,3,3,3,3,3,4,4,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,13,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/project-OCEAN/blob/ab72c7e334ae81de68547c1049ac37563390cb4e/README.md,https://github.com/google/project-OCEAN/blob/e8765ab2f24dd1ca0124ba9559169ba247b51e81/cloudbuild.yaml#L7
