code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
DOM,repo,README.md,.,-,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/wicked-good-xpath/blob/2288d0296c502d8b1eb9806d8e529ecac439406b/README.md,https://github.com/google/wicked-good-xpath/blob/829cd0d85e51b7e23d6c4ef596cc83374ac1a430/test/perf_test.html#L8
HTML,repo,README.md,.,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,9,9,9,9,9,https://github.com/google/wicked-good-xpath/blob/2288d0296c502d8b1eb9806d8e529ecac439406b/README.md,https://github.com/google/wicked-good-xpath/blob/829cd0d85e51b7e23d6c4ef596cc83374ac1a430/test/name_test.html#L1
JavaScript,repo,README.md,.,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/wicked-good-xpath/blob/2288d0296c502d8b1eb9806d8e529ecac439406b/README.md,https://github.com/google/wicked-good-xpath/blob/829cd0d85e51b7e23d6c4ef596cc83374ac1a430/src/wgxpath.js#L31
TR,repo,README.md,.,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/wicked-good-xpath/blob/2288d0296c502d8b1eb9806d8e529ecac439406b/README.md,https://github.com/google/wicked-good-xpath/blob/829cd0d85e51b7e23d6c4ef596cc83374ac1a430/test/xhtml_test_page.xhtml#L3
document.evaluate,repo,README.md,.,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/wicked-good-xpath/blob/2288d0296c502d8b1eb9806d8e529ecac439406b/README.md,https://github.com/google/wicked-good-xpath/blob/829cd0d85e51b7e23d6c4ef596cc83374ac1a430/test/test.js#L200
src/compile.sh,repo,README.md,.,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/wicked-good-xpath/blob/2288d0296c502d8b1eb9806d8e529ecac439406b/README.md,code_element is a file name
