code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
<>,repo,README.md,-,-,-,-,-,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L107
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/.github/workflows/stack-ci.yml#L15
DerivingVia,repo,README.md,4,4,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/wrapped.cabal#L9
Functor,repo,README.md,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L71
GHC,repo,README.md,-,-,-,-,-,8,8,8,8,10,10,10,20,20,20,20,20,20,20,20,20,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L52
Generic,repo,README.md,-,-,-,-,-,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/wrapped.cabal#L12
Monoid,repo,README.md,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L83
MyType,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped-generic-default/wrapped-generic-default.cabal#L12
Semigroup,repo,README.md,-,-,-,-,-,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L50
Traversable,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L71
Wrapped,repo,README.md,-,-,-,-,-,59,59,59,59,62,62,62,62,62,62,62,62,62,60,60,60,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/wrapped.cabal#L10
base,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/wrapped.cabal#L38
mappend,repo,README.md,-,-,-,-,-,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/src/Data/Wrapped.hs#L83
wrapped,repo,README.md,-,-,-,-,-,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/hs-wrapped/blob/2e015d878ad5d91d5e099190ff260389ed88ae97/README.md,https://github.com/google/hs-wrapped/blob/389c2102dd720b5cc597d2ac20cbbd363ff6aadf/wrapped/wrapped.cabal#L7
