code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,rev_141,rev_142,rev_143,rev_144,rev_145,doc_link,source_link
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,113,113,113,113,113,113,113,114,114,114,114,190,190,190,190,190,190,190,190,191,191,191,191,191,https://github.com/google/licensecheck/blob/2649e2fc42cc6c213c492f5d9bd400afb6e31294/README.md,https://github.com/google/licensecheck/blob/0279a51dbb8a386077c68c8eb18ff2850dfbc12e/testdata/gSOAP-1.3b.t1#L175
"Cover(input []byte, opts Options)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/licensecheck/blob/2649e2fc42cc6c213c492f5d9bd400afb6e31294/README.md,https://github.com/google/licensecheck/blob/c54f297c3b570b2a480fe28e119dd7eef6879dd2/license.go#L201
README,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,19,19,19,19,19,19,18,18,20,20,20,30,30,30,30,30,30,30,31,31,31,31,31,31,https://github.com/google/licensecheck/blob/2649e2fc42cc6c213c492f5d9bd400afb6e31294/README.md,https://github.com/google/licensecheck/blob/0279a51dbb8a386077c68c8eb18ff2850dfbc12e/testdata/psutils.t1#L9
SPDX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,28,50,51,51,51,51,51,51,51,51,51,51,51,59,59,56,55,55,55,54,60,60,60,60,60,60,https://github.com/google/licensecheck/blob/2649e2fc42cc6c213c492f5d9bd400afb6e31294/README.md,https://github.com/google/licensecheck/blob/0279a51dbb8a386077c68c8eb18ff2850dfbc12e/testdata/CAL-1.0.t1#L12
URL,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,13,22,159,159,159,158,160,160,160,160,160,160,160,432,432,432,432,432,432,433,433,433,434,434,434,434,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,430,430,430,429,429,429,429,429,429,429,429,429,429,429,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,432,432,432,432,432,432,432,432,441,441,441,441,441,460,460,460,460,460,463,464,467,470,479,479,479,479,479,479,485,485,497,497,497,518,518,518,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/licensecheck/blob/2649e2fc42cc6c213c492f5d9bd400afb6e31294/README.md,https://github.com/google/licensecheck/blob/c54f297c3b570b2a480fe28e119dd7eef6879dd2/urls.go#L13
licensecheck,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,17,30,31,31,31,31,31,29,29,28,28,28,28,30,37,36,37,36,36,36,36,36,36,36,36,36,https://github.com/google/licensecheck/blob/2649e2fc42cc6c213c492f5d9bd400afb6e31294/README.md,https://github.com/google/licensecheck/blob/0279a51dbb8a386077c68c8eb18ff2850dfbc12e/urls.go#L5
