code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
Eclipse,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3104,3105,3106,3115,https://github.com/google/windowtester/blob/55fd3a63b5555cb40090d066a87cb48b714a2d58/README.md,https://github.com/google/windowtester/blob/c4febd2b11eff011ffe1cecc165c22661fa5b62e/downloads/FixedCompileErrors_v1.0.patch#L1
GUI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,212,212,212,212,https://github.com/google/windowtester/blob/55fd3a63b5555cb40090d066a87cb48b714a2d58/README.md,https://github.com/google/windowtester/blob/c4febd2b11eff011ffe1cecc165c22661fa5b62e/com.windowtester_test/src/com/windowtester/test/locator/swt/shells/TableCellTestShell.java#L15
SWT,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5009,5009,5009,5009,https://github.com/google/windowtester/blob/55fd3a63b5555cb40090d066a87cb48b714a2d58/README.md,https://github.com/google/windowtester/blob/c4febd2b11eff011ffe1cecc165c22661fa5b62e/com.windowtester_test/src/com/windowtester/test/swt/WidgetReferenceFindTest.java#L3
UI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,615,615,615,615,https://github.com/google/windowtester/blob/55fd3a63b5555cb40090d066a87cb48b714a2d58/README.md,https://github.com/google/windowtester/blob/c4febd2b11eff011ffe1cecc165c22661fa5b62e/com.windowtester_test/src/com/windowtester/test/recorder/integration/RecorderIntegrationSmokeTest.java#L85
WindowTester,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,777,777,777,781,https://github.com/google/windowtester/blob/55fd3a63b5555cb40090d066a87cb48b714a2d58/README.md,https://github.com/google/windowtester/blob/c4febd2b11eff011ffe1cecc165c22661fa5b62e/com.windowtester_test_feature/feature.xml#L9
