code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,doc_link,source_link
query.run_engine,repo,README.md,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/4eebbe7b8fe02f44c5e18c0983402da6297b75b1/efilter/engines/hinter.py#L77
star_catalog,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog_test.py#L31
EFILTER,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,194,194,221,229,227,227,217,217,219,219,220,224,226,227,227,227,227,227,227,231,231,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.py#L26
LICENSE,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,82,93,95,95,95,89,89,89,89,89,91,92,92,92,92,92,92,92,92,92,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.cfg#L5
OS,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_data/hygdata_v3.csv#L34473
PKG,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/efilter/version.py#L79
RPM,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.py#L46
bdist_msi,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b9a3fdcc509404bfe2086e97fdba8a835bd7079a/setup.py#L109
bdist_rpm,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/dotty/wiki/Building/e718692abe1bb7a5b4557ab4eeab374835bbacba,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.py#L11
EFILTER,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,194,194,221,229,227,227,217,217,219,219,220,224,226,227,227,227,227,227,227,231,231,https://github.com/google/dotty/wiki/Home/8a58a357368dee90f022a7e8655a1db0a4610d7a,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.py#L26
SQL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,https://github.com/google/dotty/wiki/Home/8a58a357368dee90f022a7e8655a1db0a4610d7a,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L64
