code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,doc_link,source_link
CLI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,https://github.com/google/textfsm/blob/63a2aaece33e07947aa80963dca99b893964633b/README.md,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L20
TextFSM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,51,51,51,51,51,51,51,51,51,51,53,53,53,53,53,53,53,53,53,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/textfsm/blob/63a2aaece33e07947aa80963dca99b893964633b/README.md,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L77
.read(),wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/46c3e40f474a639d5bac3e6c8e7b6b10eda93883/textfsm.py#L1017
10GE,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/f10_version_example#L21
262144K,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L30
CLI,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L20
CliTable,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/clitable.py#L53
ConfigRegister,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L3
EF,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/f10_version_example#L9
FTOS,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/f10_version_example#L9
