code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,doc_link,source_link
*.spv,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/.gitignore#L14
*_array,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/e1399c9a117678eb74ac24d5d89cc39d085996ca/vcc/include/vcc/input_buffer.h#L65
.sln,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/.gitignore#L48
ANDROID_NDK_HOME,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc/build.gradle#L3
Debug,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279,274,274,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vulkan-cpp.sln#L83
File:Normal_map_example_with_scene_and_result,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/textures/normal-mapping/source.txt#L4
FreeGlutDir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/sample/openvr/openvr/openvr.vcxproj#L96
GLEW,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/5ba3236a5dd9f65737f39c4d677a669d6946cd35/CMakeLists.txt#L17
GL_NV_draw_vulkan_image,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/5ba3236a5dd9f65737f39c4d677a669d6946cd35/sample/openvr/src/vr.cpp#L67
GlewDir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/sample/openvr/openvr/openvr.vcxproj#L96
