code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,doc_link,source_link
ASCII,repo,README.md,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/README.md,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/language.txt#L1
ASN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/README.md,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/language.txt#L5
BER,repo,README.md,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,17,17,17,17,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/README.md,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/samples/pkcs12.txt#L1
DER,repo,README.md,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,47,47,47,47,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/README.md,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/samples/certificates.md#L4
ascii2der,repo,README.md,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/README.md,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/samples/p256_specified.txt#L3
der2ascii,repo,README.md,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/README.md,https://github.com/google/der-ascii/blob/a31891b88eb633a70d69e413cb4061a2576ebecc/samples/p256_specified.txt#L6
