code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
/,repo,README.md,-,-,-,-,41,41,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/spec_helper.rb#L15
:lax,repo,README.md,-,-,-,-,4,4,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safequerymanager_spec.rb#L58
:strict,repo,README.md,-,-,-,-,1,1,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/lib/safe_active_record/safe_query_manager.rb#L26
ActiveRecord,repo,README.md,-,-,-,-,4,4,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/ar_monkeypatch_spec.rb#L26
RiskilyAssumeTrustedString,repo,README.md,-,-,-,-,15,15,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/ar_monkeypatch_spec.rb#L148
SafeActiveRecord,repo,README.md,-,-,-,-,92,92,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safetype_spec.rb#L19
Symbol.all_symbols,repo,README.md,-,-,-,-,4,4,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/load_spec.rb#L54
TrustedSymbol,repo,README.md,-,-,-,-,38,38,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safetype_spec.rb#L19
UncheckedString,repo,README.md,-,-,-,-,15,15,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safetype_spec.rb#L51
dry_run,repo,README.md,-,-,-,-,10,10,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safequerymanager_spec.rb#L51
intercept_load,repo,README.md,-,-,-,-,14,14,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safequerymanager_spec.rb#L89
load,repo,README.md,-,-,-,-,24,24,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/relative_loaded_1.rb#L19
require,repo,README.md,-,-,-,-,39,39,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/spec_helper.rb#L3
require_relative,repo,README.md,-,-,-,-,6,6,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/load_spec.rb#L34
safe_query_mode,repo,README.md,-,-,-,-,9,9,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safequerymanager_spec.rb#L58
to_sym,repo,README.md,-,-,-,-,9,9,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/README.md,https://github.com/google/safe-active-record/blob/53788134291624829ffc01fba0dba4693e407799/spec/safetype_spec.rb#L27
