code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
CompactEncDet,repo,README.md,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/compact_enc_det/compact_enc_det_unittest.cc#L4657
DetectEncoding,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/compact_enc_det/compact_enc_det_unittest.cc#L4657
UNKNOWN_ENCODING,repo,README.md,57,57,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/util/encodings/encodings.pb.h#L48
UNKNOWN_LANGUAGE,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/util/languages/languages.pb.h#L47
WEB_CORPUS,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/compact_enc_det/compact_enc_det_unittest.cc#L4664
autogen.sh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,code_element is a file name
bytes_consumed,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/compact_enc_det/compact_enc_det_unittest.cc#L4651
ced_unittest,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/CMakeLists.txt#L85
compact_enc_det,repo,README.md,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/compact_enc_det/detail_head_string.inc#L16
is_reliable,repo,README.md,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/compact_enc_det/blob/2f40a850bcc5d6f7c1bfa02dbf42ad19d8220dc0/README.md,https://github.com/google/compact_enc_det/blob/3ba472037e40a0acf6bb61b1727e99602cd71647/compact_enc_det/compact_enc_det_unittest.cc#L4650
