code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
.protobuf,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/python/generate-txt-from-protobuffs-in-dir.sh#L39
CLUSTER,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L79
EXPERIMENTS,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L79
MesosScheduler,repo,README.md,12,12,12,12,12,12,12,12,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/test/scala/TestSimulations.scala#L39
README,repo,README.md,3,3,3,3,3,3,3,3,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/CoreClusterSimulation.scala#L1381
SIMULATOR,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L79
Simulation.scala,repo,README.md,3,3,3,3,3,3,3,3,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L746
bin/sbt,repo,README.md,3,3,3,3,3,3,3,5,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L59
conf/cluster-sim-env.sh,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/bin/sbt#L8
conf/cluster-sim-env.sh.template,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
experiment_results,repo,README.md,6,6,6,6,6,6,6,6,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L415
mesosSimulatorSingleSchedulerZeroResourceJobsTest,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/test/scala/TestSimulations.scala#L177
protoc,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/protocolbuffers/compile_protobufs.sh#L30
run,repo,README.md,34,34,34,34,34,34,34,34,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/test/scala/TestSimulations.scala#L102
sbt,repo,README.md,2,2,2,2,2,2,25,8,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/project/build.properties#L1
scala,repo,README.md,10,10,10,10,10,10,14,10,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/main/scala/Simulation.scala#L54
schedulePartialJobs,repo,README.md,9,9,9,9,9,9,9,9,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/test/scala/TestSimulations.scala#L203
src/main/protocolbuffers/compile_protobufs.sh,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
src/main/python/graphing-scripts,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/bin/generate-graphs.sh#L29
src/main/scala/Simulation.scala,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
src/main/scala/Workloads.scala,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
traces,repo,README.md,12,12,12,12,13,13,13,13,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/traces/README.txt#L4
traces/README.txt,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
traces/example-init-cluster-state.log,repo,README.md,3,3,3,3,3,3,3,3,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,https://github.com/google/cluster-scheduler-simulator/blob/b882f26643227fcc62739de7b814ef9b0634ecff/src/test/scala/TestSimulations.scala#L499
traces/job-distribution-traces/README.txt,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
traces/job-distribution-traces/example_csizes_cmb.log,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/cluster-scheduler-simulator/blob/9b2385ce6303173daf7cc31fcd81231d2afad892/README.md,code_element is a file name
