code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,doc_link,source_link
BLE,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,33,33,33,46,46,46,46,46,46,46,46,46,46,46,46,46,46,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,58,58,58,58,121,121,121,121,121,121,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/gatt-config/ios/README.md#L3
EID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,79,79,79,79,79,100,145,145,145,145,230,230,230,230,230,230,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/ios-eddystone-scanner-sample/EddystoneScannerSampleSwift/Eddystone.swift#L107
GATT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,106,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,120,125,125,125,125,153,153,153,153,153,153,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/gatt-config/ios/README.md#L3
ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,91,91,91,91,91,91,91,91,91,91,92,93,93,94,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,98,108,108,108,108,118,118,118,118,118,118,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/ios-eddystone-scanner-sample/EddystoneScannerSampleSwift/Eddystone.swift#L26
PDU,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,18,18,18,18,25,25,25,25,25,25,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/gatt-config/ios/Beaconfig/Beaconfig/SlotDataContentView.swift#L866
TLM,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,56,56,56,62,62,62,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,81,81,81,81,81,81,81,81,81,81,81,81,81,81,83,81,81,81,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,102,115,115,115,115,169,169,169,169,169,169,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/ios-eddystone-scanner-sample/EddystoneScannerSampleSwift/Eddystone.swift#L105
UID,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,48,47,47,47,47,47,47,50,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,57,57,57,63,63,63,63,63,63,63,63,63,63,63,63,63,65,65,65,65,65,94,106,106,106,106,106,106,106,106,106,106,106,106,106,106,121,121,121,121,122,122,122,122,122,122,123,123,123,123,123,123,123,123,123,123,123,123,144,160,160,160,160,203,203,203,203,203,203,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/ios-eddystone-scanner-sample/EddystoneScannerSampleSwift/Eddystone.swift#L101
URL,repo,README.md,73,73,73,73,73,73,73,73,73,73,73,80,81,81,81,81,81,81,81,79,79,79,79,79,81,81,81,81,81,81,81,81,81,81,81,81,101,108,109,109,111,113,115,115,115,115,115,115,115,130,130,130,130,130,130,130,130,130,130,165,165,165,277,277,275,275,275,275,275,275,275,275,275,275,275,301,298,298,298,298,291,301,301,301,301,301,301,301,301,301,301,301,301,301,305,349,336,336,336,339,339,339,339,339,339,354,354,354,354,354,354,354,354,354,354,354,354,380,406,406,406,406,478,478,478,478,478,478,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/ios-eddystone-scanner-sample/EddystoneScannerSampleSwift/ViewController.swift#L38
iOS,repo,README.md,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,19,19,19,19,19,19,19,19,19,19,https://github.com/google/eddystone/blob/6c478c9d456d041f183b735b5f65a01967b8001c/README.md,https://github.com/google/eddystone/blob/bb8738d7ddac0ddd3dfa70e594d011a0475e763d/tools/ios-eddystone-scanner-sample/README.md#L1
