code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
FFI,repo,README.md,-,-,-,-,-,-,-,.,.,.,.,.,3,3,2,3,3,3,3,https://github.com/google/rust-scudo/blob/9ec15b653701623614a14c103d7f515bae564770/README.md,https://github.com/google/rust-scudo/blob/94ae46162cdbbc00246ade06a000c37beb558adb/scudo-sys/src/scudo_rust_wrapper.cpp#L27
ScudoHardenedAllocator,repo,README.md,0,0,0,0,0,1,1,.,.,.,.,.,6,6,6,6,6,6,6,https://github.com/google/rust-scudo/blob/9ec15b653701623614a14c103d7f515bae564770/README.md,https://github.com/google/rust-scudo/blob/94ae46162cdbbc00246ade06a000c37beb558adb/scudo/README.md#L10
rust-scudo,repo,README.md,-,-,-,-,-,-,-,.,.,.,.,.,-,-,2,4,4,4,4,https://github.com/google/rust-scudo/blob/9ec15b653701623614a14c103d7f515bae564770/README.md,https://github.com/google/rust-scudo/blob/94ae46162cdbbc00246ade06a000c37beb558adb/scudo/Cargo.toml#L9
scudo,repo,README.md,-,-,-,-,-,-,-,.,.,.,.,.,896,897,-,-,-,-,-,https://github.com/google/rust-scudo/blob/9ec15b653701623614a14c103d7f515bae564770/README.md,https://github.com/google/rust-scudo/blob/c9e8a0e2fda0ddb55ef5e02ae55f290b03b76851/third_party/llvm-scudo-standalone/wrappers_cpp.cpp#L19
scudo-sys,repo,README.md,-,-,-,-,-,-,-,.,.,.,.,.,8,5,-,-,-,-,-,https://github.com/google/rust-scudo/blob/9ec15b653701623614a14c103d7f515bae564770/README.md,https://github.com/google/rust-scudo/blob/c9e8a0e2fda0ddb55ef5e02ae55f290b03b76851/scudo/README.md#L9
