code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,doc_link,source_link
3D,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32,32,32,32,33,33,33,33,33,33,34,34,34,https://github.com/google/mozc-devices/blob/959910438b9c45e758a0b1cad52ceea60170f901/README.md,https://github.com/google/mozc-devices/blob/38756c0a9aed182275fe60507a8eb14743670ea9/third_party/mozc-puchi/handheld/3Dprinter/handheld.stp#L22545
PC,repo,README.md,.,.,.,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mozc-devices/blob/959910438b9c45e758a0b1cad52ceea60170f901/README.md,https://github.com/google/mozc-devices/blob/d75929e0c895865d7d9c75d3b75727cde2ff4933/mozc-piropiro/README.md#L72
PCB,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,11,11,11,11,11,11,18,18,18,https://github.com/google/mozc-devices/blob/959910438b9c45e758a0b1cad52ceea60170f901/README.md,https://github.com/google/mozc-devices/blob/38756c0a9aed182275fe60507a8eb14743670ea9/mozc-yunomi/README_promicro.md#L19
README,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,7,7,7,https://github.com/google/mozc-devices/blob/959910438b9c45e758a0b1cad52ceea60170f901/README.md,https://github.com/google/mozc-devices/blob/38756c0a9aed182275fe60507a8eb14743670ea9/third_party/mozc-puchi/README.md#L33
USB,repo,README.md,.,.,.,325,325,328,328,328,328,328,329,329,329,329,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mozc-devices/blob/959910438b9c45e758a0b1cad52ceea60170f901/README.md,https://github.com/google/mozc-devices/blob/d75929e0c895865d7d9c75d3b75727cde2ff4933/third_party/usbdrv/usbportability.h#L2
third_party,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,10,10,10,10,10,10,10,10,10,https://github.com/google/mozc-devices/blob/959910438b9c45e758a0b1cad52ceea60170f901/README.md,https://github.com/google/mozc-devices/blob/38756c0a9aed182275fe60507a8eb14743670ea9/third_party/mozc-morse/Readme.txt#L31
