code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
ANY,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/ForegroundHelper.java#L360
AS,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L11
AndroidForegroundCompat,repo,README.md,8,8,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/gradle.properties#L1
BASIS,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L11
CONDITIONS,repo,README.md,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
ForegroundCompat,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/ForegroundCompat.java#L30
FrameLayout,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/ForegroundHelper.java#L30
IS,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L11
KIND,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
LICENSE,repo,README.md,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L8
LLC,repo,README.md,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L2
OF,repo,README.md,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
OR,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
WARRANTIES,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
WITHOUT,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/AndroidForegroundCompat/blob/c4cea7e84ef0f1e7e07b5328907e822a9478d838/README.md,https://github.com/google/AndroidForegroundCompat/blob/d7acc967fa438485d1eef41afa838f9a8e575653/library/src/main/java/me/zhanghai/android/foregroundcompat/MoreDrawableCompat.java#L12
