code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
HUD,repo,README.md,3,3,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L214
JavaScript,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/examples/README.md#L2
Story,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L25
chartSelector,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L22
containerSelector,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L23
developerHud,repo,README.md,8,8,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L24
enterHandler,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L25
exitHandler,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L26
fullsizeChart,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L27
getActivePanelIndex(),repo,README.md,2,2,2,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L101
getProgressValue(),repo,README.md,2,2,2,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L111
info(`Entered panel ${panel}`),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/examples/no_chart.html#L62
info(`Exited panel ${panel}`),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/examples/no_chart.html#L65
info(`Progress is now ${percentage}%`),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/examples/no_chart.html#L69
panelSelector,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L28
progressHandler,repo,README.md,6,6,6,6,7,7,7,7,7,7,7,7,7,7,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L29
querySelector,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L55
requestAnimationFrame,repo,README.md,8,8,8,8,6,6,6,6,6,6,6,6,6,6,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L94
segmentSelector,repo,README.md,-,-,-,-,-,-,-,-,-,4,4,4,4,4,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L30
segmented_sticky_fullsize,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/examples/README.md#L11
showDeveloperHud(enable: boolean),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L128
toFixed(2),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/scrollytell/blob/a80aa1ede0dba8b14b8a556ede146bce317c9791/README.md,https://github.com/google/scrollytell/blob/a079fd7b33c7a184c1e1ec01f01d50f0b7a95f6f/scrollytell.ts#L251
