code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,doc_link,source_link
Fuzz(&e.AInfo),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L195
Fuzz(&e.BInfo),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L198
Fuzz(&fancyStruct),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz_test.go#L554
Fuzz(&i),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz.go#L93
Fuzz(&myMap),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L159
Fuzz(&myObject),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L205
Fuzz(data []byte),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz.go#L91
Intn(2),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L192
MyEnum,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L177
MyFunc(i),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz.go#L94
MyInfo,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L182
NilChance(.5),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz_test.go#L79
NilChance(0),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz_test.go#L424
"NumElements(1, 1)",repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L95
c.Rand(),repo,README.md,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/ab81596650a6d64d599c53a68e3608fc51f213ce/example_test.go#L189
fancyStruct,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz_test.go#L551
"func(e *MyInfo, c fuzz.Continue)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L189
fuzz.New(),repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L38
fuzz.NewFromGoFuzz(data),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/fuzz.go#L93
myMap,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L158
myObject,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gofuzz/blob/f12f061189cca81b834eba9985016bc70e1dce2e/README.md,https://github.com/google/gofuzz/blob/4a35382e8fc896245d64c1374dc127cdc4a51cb3/example_test.go#L204
