code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
InAppBrowser,repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L52
SFSafariViewController,repo,README.md,5,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/plugin/src/ios/CBTBrowserTab.m#L22
SafariServices,repo,README.md,3,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/plugin/src/ios/CBTBrowserTab.h#L18
URL,repo,README.md,3,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/plugin/src/android/BrowserTab.java#L38
"addEventListener('click', function(ev)",repo,README.md,3,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L31
function(failureResp),repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L39
function(isAvailableError),repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L45
function(successResp),repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L38
iOS,repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/plugin/plugin.xml#L11
isAvailable(function(result),repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L32
"open(testURL, '_system')",repo,README.md,2,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L52
openUrl,repo,README.md,12,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/plugin/www/browsertab.js#L21
testURL,repo,README.md,3,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L29
textContent,repo,README.md,4,-,-,-,-,-,-,https://github.com/google/cordova-plugin-browsertab/blob/8eb634007919ccc0a12dbbba2948fbd05d44c230/README.md,https://github.com/google/cordova-plugin-browsertab/blob/9abcf272dbcda8e830918b5ecb19b12cee835b4a/demo/www/js/index.js#L40
