code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
@protocol,repo,README.md,7,7,7,7,12,12,12,12,12,12,14,14,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L25
BUILD,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,code_element is a file name
CONTRIBUTING,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/LICENSE#L1
CocoaPods,repo,README.md,2,2,2,2,2,2,2,0,0,0,0,0,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/dd82b8491b54a07298b2d14cd537a30b772b108d/MOLXPCConnection.xcodeproj/project.pbxproj#L261
MOLCertificate,repo,README.md,-,-,-,-,-,-,-,-,4,4,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/WORKSPACE#L21
MOLCodesignChecker,repo,README.md,-,-,-,-,-,-,-,-,16,16,15,15,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/WORKSPACE#L27
MOLXPCConnection,repo,README.md,79,79,81,81,81,81,81,39,39,39,43,43,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L20
MachServices,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L21
MyServer,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L24
MyServerProtocol,repo,README.md,2,2,2,2,1,1,1,1,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L36
"NSLog(@""Connection invalidated"")",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L37
NSXPCConnection,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L57
NSXPCInterface,repo,README.md,9,9,9,9,16,16,16,16,16,16,19,19,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L43
NSXPCListener,repo,README.md,14,14,14,14,14,14,14,14,14,14,16,16,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L76
WORKSPACE,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,code_element is a file name
exportedInterface,repo,README.md,6,6,6,6,6,-,-,-,-,-,-,-,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/4790f8caf9de5a3a9e86253c58c0ad8c3ae08e30/Source/MOLXPCConnection/MOLXPCConnection.m#L163
exportedObject,repo,README.md,6,6,6,6,6,6,6,6,6,6,7,7,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L156
git_repository,repo,README.md,-,-,-,-,-,-,-,-,3,4,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/WORKSPACE#L3
initClientWithName,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L62
initServerWithName,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L79
interfaceWithProtocol,repo,README.md,6,6,6,6,10,10,10,10,10,10,11,11,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L47
invalidationHandler,repo,README.md,11,11,11,11,11,11,11,11,11,12,12,12,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L100
launchd,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L21
"load(""@bazel_tools//tools/build_defs/repo:git.bzl"", ""git_repository"")",repo,README.md,-,-,-,-,-,-,-,-,1,0,0,0,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/58b52003f0ed0277e4122db305cd0cf328d10ce5/WORKSPACE#L1
myObject,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L27
objc_library,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/WORKSPACE#L35
privilegedInterface,repo,README.md,-,-,-,-,-,3,4,4,4,4,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.m#L158
remoteInterface,repo,README.md,3,3,3,3,3,3,3,3,3,3,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Tests/MOLXPCConnectionTests.m#L161
remoteObjectProxy,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.m#L130
selectorInRemoteInterface,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L44
withOptions:0,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/README.md,https://github.com/google/macops-MOLXPCConnection/blob/41a88ce74afee005b0302014c9a79817a7e8b311/Source/MOLXPCConnection/MOLXPCConnection.h#L35
