code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
$DATA_STORAGE_PROJECT,repo,README.md,.,2,2,2,2,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L79
$GCP_PROJECT_ID,repo,README.md,.,1,1,1,1,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L59
API,repo,README.md,.,73,97,97,94,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/dependencies/tcrm/utils/errors.py#L48
AutoML,repo,README.md,.,98,98,98,98,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/train_model_dag.py#L65
BQ,repo,README.md,.,6,8,8,8,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/prepare_source_dag.py#L16
BQ_LOCATION,repo,README.md,.,1,1,1,1,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L54
GCP,repo,README.md,.,1,31,31,31,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/prepare_source_dag.py#L117
GCP_BQ_WORKING_DATASET,repo,README.md,.,2,2,2,2,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L62
GCP_BUCKET,repo,README.md,.,4,4,4,4,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L61
GCP_PROJECT_ID,repo,README.md,.,4,4,4,4,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L47
