code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,1,1,1,1,1,1,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/CHANGELOG.md#L15
Appender,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L23
BasicLogFormatter,repo,README.md,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/formatter_test.dart#L23
Formatter,repo,README.md,-,-,11,11,11,11,11,11,11,11,11,17,17,17,17,18,18,18,18,18,22,22,22,22,22,23,23,23,23,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/webappender_test.dart#L96
FormatterBase,repo,README.md,-,-,4,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/b216931923e90fb705d8258dc58e860b6ac6ccbb/lib/src/log.dart#L59
FormatterBase<String>,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/b216931923e90fb705d8258dc58e860b6ac6ccbb/test/webappender_test.dart#L97
HH,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/lib/src/log.dart#L102
InMemoryListAppender,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L35
InMemoryListAppender(SimpleStringFormatter(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L25
InMemoryListAppender(new SimpleStringFormatter(),repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/b216931923e90fb705d8258dc58e860b6ac6ccbb/test/appender_test.dart#L25
