code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
.send(),repo,README.md,.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L42
ACK,repo,README.md,.,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L49
ANY,repo,README.md,.,77,77,77,77,78,78,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L12
API,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/main/java/com/google/iot/coap/CoapRuntimeException.java#L18
AS,repo,README.md,.,77,77,77,77,78,78,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L11
BASIS,repo,README.md,.,77,77,77,77,78,78,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L11
CONDITIONS,repo,README.md,.,79,79,79,79,80,80,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L12
CONTENT,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/main/java/com/google/iot/coap/Code.java#L224
"Client(manager, ""coap://coap.me/test"")",repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L40
CoAP,repo,README.md,.,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/main/java/com/google/iot/coap/package-info.java#L17
CoapBlaster,repo,README.md,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/main/java/com/google/iot/coap/package-info.java#L17
DTLS,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/main/java/com/google/iot/coap/Coap.java#L27
IN,repo,README.md,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/main/java/com/google/iot/coap/Message.java#L470
IS,repo,README.md,.,77,77,77,77,78,78,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L11
KIND,repo,README.md,.,77,77,77,77,78,78,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,https://github.com/google/coapblaster/blob/c8588347963da26131490db344f349fd44f089e8/README.md,https://github.com/google/coapblaster/blob/6b52549facc54632e38cea9c027fb95018dc385e/src/test/java/com/google/iot/coap/RemoteServerTest.java#L12
