code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,doc_link,source_link
/,repo,README.md,.,.,-,-,-,-,-,16015,16006,16015,16199,16364,16415,16390,16390,16333,16333,16333,16375,16375,16375,16377,16413,16422,16422,16422,16422,16422,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/rust-async-coap.iml#L4
ANY,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L11
API,repo,README.md,.,.,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/lib.rs#L242
AS,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L10
BASIS,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L10
CONDITIONS,repo,README.md,.,.,87,88,88,88,88,88,88,88,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L11
Cargo.toml,repo,README.md,.,.,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap-uri/README.md#L34
CoAP,repo,README.md,.,.,126,126,126,126,126,126,126,129,130,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/trans_params.rs#L18
DTLS,repo,README.md,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/lib.rs#L24
GET,repo,README.md,.,.,-,-,-,-,-,22,22,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/send_desc/request.rs#L23
HTTP,repo,README.md,.,.,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/message/msg_code.rs#L225
IS,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L10
KIND,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L11
LICENSE,repo,README.md,.,.,86,88,88,88,88,88,88,88,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L7
LLC,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L1
OF,repo,README.md,.,.,86,87,87,87,87,87,87,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L11
OR,repo,README.md,.,.,85,86,86,86,86,86,86,86,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/util.rs#L11
POST,repo,README.md,.,.,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/send_desc/request.rs#L44
PUT,repo,README.md,.,.,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/send_desc/request.rs#L54
RESTful,repo,README.md,.,.,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/rust-async-coap/blob/0f27ce9e419f1d38e03e8e1cbe017508d80fa7af/README.md,https://github.com/google/rust-async-coap/blob/71245d49449b2534b12dff75e84611967c009b29/async-coap/src/lib.rs#L40
