code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
AUTHORS,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/CONTRIBUTORS#L2
CONTRIBUTORS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/AUTHORS#L3
VKAPI_ATTR,repo,README.md,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/swapchain.h#L30
VKAPI_CALL,repo,README.md,48,48,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/swapchain.h#L30
VULKAN_INCLUDE_LOCATION,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/CMakeLists.txt#L20
VkSwapchainKHR,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,12,12,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/swapchain.h#L52
"callback(void*, uint8_t*, size_t)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/callback_swapchain.cpp#L381
user_data,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/swapchain.cpp#L226
vkAcquireNextImageKHR,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/swapchain.h#L62
vkCreateAndroidSurfaceKHR,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/README.md,https://github.com/google/vk_callback_swapchain/blob/30a3f393d779cb6e6426a5fa050437251c5bfad1/layer.cpp#L474
