code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,doc_link,source_link
.build(),repo,README.md,181,181,181,182,182,182,182,183,183,183,183,183,183,183,215,215,215,215,215,231,231,231,231,231,231,231,231,231,231,231,232,232,232,278,281,281,281,281,281,281,281,281,281,281,284,285,285,292,293,293,294,318,318,318,318,318,318,328,328,328,328,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/sample/src/main/java/com/google/photos/library/sample/views/SearchMediaItemView.java#L294
ANY,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,44,44,44,48,53,53,53,53,53,53,53,53,53,56,59,59,59,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/settings.gradle#L12
API,repo,README.md,54,54,54,60,60,60,60,60,60,60,60,60,60,60,71,71,71,71,71,94,87,87,87,87,87,87,87,87,87,87,87,87,87,89,104,104,95,95,95,95,95,95,95,95,95,95,95,99,151,151,151,150,150,150,150,151,151,157,157,157,157,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/sample/src/main/java/com/google/photos/library/sample/views/SearchMediaItemView.java#L281
AS,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,44,44,44,48,53,53,53,53,53,53,53,53,53,56,59,59,59,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/settings.gradle#L11
Album.newBuilder(),repo,README.md,15,15,15,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/992af8a473a8ea37947e1b9af39ed76b4b78643c/sample/src/main/java/com/google/photos/library/sample/demos/AlbumDemo.java#L163
ApiException,repo,README.md,30,30,30,30,30,30,30,30,30,30,30,30,30,30,38,38,38,38,38,42,42,42,42,42,42,42,42,42,42,42,42,42,42,49,50,51,51,51,51,51,51,51,51,51,51,51,51,61,63,63,63,63,63,63,63,63,63,65,65,65,65,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/sample/src/main/java/com/google/photos/library/sample/demos/upload/Uploader.java#L250
BASIS,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,44,44,44,48,53,53,53,53,53,53,53,53,53,56,59,59,59,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/settings.gradle#L11
CONDITIONS,repo,README.md,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,46,46,46,50,55,55,55,55,55,55,55,55,55,58,61,61,61,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/settings.gradle#L12
CredentialsProvider,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/photoslibraryapi/src/main/java/com/google/photos/library/v1/PhotosLibrarySettings.java#L20
END,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/java-photoslibrary/blob/10d4e8d21942700dcd18908c33d22e29a7248256/README.md,https://github.com/google/java-photoslibrary/blob/55c74fbafcbf2227928c30b3b8a81a55f853f850/LICENSE#L177
