code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
ColorBrewer,repo,README.md,.,.,.,.,.,.,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/palette.js#L18
HSV,repo,README.md,.,.,.,.,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/palette.js#L518
RRGGBB,repo,README.md,.,.,.,.,.,.,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/palette.js#L125
div,repo,README.md,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/demo.html#L62
null,repo,README.md,.,.,.,.,.,.,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/palette.js#L125
palette,repo,README.md,.,.,.,.,.,.,131,144,144,169,169,169,169,169,169,169,169,169,169,169,174,182,182,175,180,180,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/palette.js#L83
tol-seq,repo,README.md,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/9cb131eada7e0e9ee4b75793f29d26bb64bf6499/palette.js#L538
tol-sq,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/palette.js/blob/3979c41bbe1245e94658c782879ec334776f8393/README.md,https://github.com/google/palette.js/blob/79a703df344e3b24380ce1a211a2df7f2d90ca22/palette.js#L511
