code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,doc_link,source_link
.c,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/ci/clang-format.sh#L4
.h,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/unify.py#L73
//:split,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/b57d4316cd608b192a3181aad6e409c7f60b099b/examples/BUILD#L34
//:unified,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,9,10,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/BUILD#L96
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,5,11,11,12,24,24,24,24,24,24,25,26,26,26,27,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/stringmap.c#L15
"CWISS_DECLARE_FLAT_HASHSET(MyIntSet, int)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/hashset.c#L28
MyIntSet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/hashset.c#L31
"MyIntSet_insert(&set, &val)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/hashset.c#L36
MyIntSet_new(8),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/hashset.c#L31
SwissTables,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/cwisstable/internal/test_helpers.h#L18
"assert(!MyIntSet_contains(&set, &k)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/hashset.c#L42
cwisstable,repo,README.md,17,17,17,17,17,17,17,17,17,17,16,16,16,16,25,46,59,59,60,62,62,71,72,72,72,72,72,72,72,72,72,78,87,76,85,85,85,86,86,90,90,90,95,95,95,97,97,97,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/unify.py#L73
cwisstable.h,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,14,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/unify.py#L66
cwisstable/declare.h,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/unify.py#L78
cwisstable/policy.h,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/unify.py#L78
example.c,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/78b26ec693a09911d8dfc8a7845e342adbcebed7/BUILD#L31
examples,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/arraymap.c#L44
examples/stringmap.c,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/cwisstable/policy.h#L73
main(void),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cwisstable/blob/e23b2ad8b23b6b3b74d0c939cdde15ac81939c2b/README.md,https://github.com/google/cwisstable/blob/6de0e5f2e55f90017534a3366198ce7d3e3b7fef/examples/stringmap.c#L74
