code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
.gs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/bin/upload.dart#L19
@NotOnlyCurrentDoc,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/lib/gsify.dart#L29
@OnlyCurrentDoc,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/lib/gsify.dart#L28
AND,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/LICENSE#L6
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/lib/src/api_client.dart#L22
ID,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/bin/run.dart#L47
JavaScript,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/.gitignore#L18
TODO,repo,README.md,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/7f4b09dbc93ead10e3e420e24744c937b32ec59d/lib/src/api_client.dart#L39
URL,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/lib/src/api_client.dart#L43
apps_script_gsify,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/apps_script_tools/blob/e8b3d5cd9e842a26002daf65284a943548f2ea92/README.md,https://github.com/google/apps_script_tools/blob/a735fa901e935a0e8716400c5cca9a90e3e74a8b/pubspec.yaml#L34
