code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,doc_link,source_link
./examples/,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/doxygen/custom_examples.dox#L4
./platform_standalone,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/makefile#L57
@ref,repo,README.md,79,79,79,79,79,79,81,81,81,81,91,91,91,95,95,95,99,99,99,99,100,113,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/include/topicstate.hpp#L74
API,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/util/nodenameutils.hpp#L30
Detector,repo,README.md,135,135,135,135,135,135,145,145,145,145,150,152,152,153,153,153,153,153,153,153,153,156,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/util/nodenameutils.cpp#L52
Detector(graph),repo,README.md,42,42,42,42,42,42,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/unit-test/lite/test_lite.cpp#L45
DetectorGraph,repo,README.md,340,340,340,340,340,340,375,377,378,378,385,402,403,426,426,426,426,426,426,426,428,441,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/util/nodenameutils.hpp#L20
DetectorGraphs,repo,README.md,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/doxygen/style_suggestions.dox#L264
Evaluate(),repo,README.md,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/include/detector.hpp#L64
EvaluateGraph,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/detectorgraph/blob/09fc883de0a8455b0cb54f9e4e88deae4667893e/README.md,https://github.com/google/detectorgraph/blob/d6c923f8e495a21137312b236e35c36a55d3a755/include/graph.hpp#L111
