code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
GitHub,repo,README.md,.,.,.,.,2,2,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/docs/contributing.md#L21
PDK,repo,README.md,.,.,.,.,2,2,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/circuit.py#L505
SPEF,repo,README.md,.,.,.,.,12,12,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spef.py#L24
SPICE,repo,README.md,.,.,.,.,4,4,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice.py#L103
Xyce,repo,README.md,.,.,.,.,7,7,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice_util.py#L160
analyze_input_capacitance_tests,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L85
analyze_module_tests,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L97
bigspicy,repo,README.md,.,.,.,.,9,9,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice_analyser.py#L116
delays_csv,repo,README.md,.,.,.,.,4,4,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L68
dump_spice,repo,README.md,.,.,.,.,4,4,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L61
flatten_spice,repo,README.md,.,.,.,.,5,5,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L65
generate_input_capacitance_tests,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L80
generate_module_tests,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L91
input_caps,repo,README.md,.,.,.,.,1,1,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L69
input_caps_csv,repo,README.md,.,.,.,.,4,4,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L69
linearY,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice_analyser.py#L1462
linearZ,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice_analyser.py#L1186
test_analysis,repo,README.md,.,.,.,.,10,10,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L63
test_manifest,repo,README.md,.,.,.,.,18,18,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice_analyser.py#L166
test_manifest.pb,repo,README.md,.,.,.,.,2,2,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/spice_analyser.py#L1562
working_dir,repo,README.md,.,.,.,.,3,3,https://github.com/google/bigspicy/blob/c15e33da127a54312340fcf672dcf3c49909761c/README.md,https://github.com/google/bigspicy/blob/6b2d0b4080754ef0cec7bb79574fc443de7c91f1/bigspicy.py#L66
