code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
ANY,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
AS,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L11
BASIS,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L11
CONDITIONS,repo,README.md,4,4,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
CVPR,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/www/index.html#L62
DAVIS,repo,README.md,-,-,72,75,75,75,76,76,76,76,76,76,76,76,76,76,76,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/test_data/test_davis_video_list.txt#L1
IS,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L11
KIND,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
LICENSE,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L8
LLC,repo,README.md,0,0,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L2
OF,repo,README.md,3,3,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
OR,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
TUM,repo,README.md,-,-,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/test_tum.py#L33
WARRANTIES,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
WITHOUT,repo,README.md,2,2,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/b3b056bcfae2d0a9618e5ed21aad0f737f1923c0/util/util.py#L12
input_nc,repo,README.md,-,-,8,8,8,8,3,3,2,-,-,-,-,-,-,-,-,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/c05c3ea6c3ba809380d627327df5ae58231d53a0/options/base_options.py#L29
single_view,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/options/base_options.py#L28
test_data/viz_predictions,repo,README.md,-,-,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/test_davis_videos.py#L46
two_view,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/options/base_options.py#L28
two_view_k,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/README.md,https://github.com/google/mannequinchallenge/blob/cb5b773a49c38e533989026ef46596aea142133b/options/base_options.py#L28
