code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
+,repo,README.md,210,210,210,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/variables_test.py#L36
API,repo,README.md,3,3,3,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/pytorch/pytorch.py#L35
AST,repo,README.md,118,118,118,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/sct/transformer_test.py#L232
"And(a, b)",repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py_test.py#L228
AutoGraph,repo,README.md,4,4,4,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/benchmarks/rnn_benchmark.py#L337
DSL,repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/overloads/staging.py#L15
TensorFlow,repo,README.md,10,10,10,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py.py#L139
__if__,repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/overloads/type_dispatch.py#L31
"and_(a, b)",repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py.py#L42
"assign(lhs, rhs)",repo,README.md,8,8,8,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/variables.py#L69
"call(func, args, kwargs)",repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/functions.py#L89
control_flow,repo,README.md,56,56,56,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/control_flow_test.py#L15
converted_demorgan,repo,README.md,2,2,2,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py_test.py#L65
