code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
ANY,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
AS,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L12
BASIS,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L12
CONDITIONS,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
GPU,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/training/Dockerfile.gpu#L33
IS,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/yarn.lock#L1
JS,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/js/game.ts#L244
KIND,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
LICENSE,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L9
LLC,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L3
