code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,doc_link,source_link
Sync3kState,repo,README.md,.,.,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/test/specs/enhancers/sync3kEnhancerSpec.ts#L16
applyMiddleware,repo,README.md,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/src/index.ts#L15
createStore,repo,README.md,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/test/specs/enhancers/sync3kEnhancerSpec.ts#L17
initializeSync,repo,README.md,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/test/specs/reducers/sync3kReducerSpec.ts#L15
notetaking-app,repo,README.md,.,.,.,.,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/examples/notetaking-app/package.json#L2
npm,repo,README.md,.,.,.,.,10,10,12,12,12,12,12,12,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,10,10,10,10,9,9,9,9,9,9,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/examples/notetaking-app/public/index.html#L36
redux,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/test/specs/enhancers/sync3kEnhancerSpec.ts#L17
redux-sync3k,repo,README.md,.,.,.,.,7,7,7,7,7,7,7,7,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/e20f49e1a78c8a829cb28e278631714867406c37/package.json#L2
sync3k,repo,README.md,.,.,.,.,45,45,45,45,45,45,45,47,57,57,57,58,58,58,58,58,58,58,58,59,59,63,69,69,69,69,69,69,76,76,76,76,76,77,77,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/test/specs/sync3kSpec.ts#L15
sync3k-client,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,10,10,10,10,10,10,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/package.json#L2
sync3kState,repo,README.md,.,.,.,.,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/sync3k-client/blob/8dfdd3dbea67d7cbaea75fafcaa8f98e67ddefdc/README.md,https://github.com/google/sync3k-client/blob/87fed9286471172c9773dba44316a40df742d7ad/test/specs/enhancers/sync3kEnhancerSpec.ts#L16
