code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
BQ,repo,README.md,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/TransferRunner.java#L82
BigQuery,repo,README.md,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,16,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/WqToBqDataTypeMapper.java#L19
CSV,repo,README.md,15,15,15,15,15,15,15,15,15,15,14,14,14,15,15,15,15,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/WebQuery.java#L101
GCS,repo,README.md,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/TransferRunner.java#L66
SAX,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/Html2CsvParseHandler.java#L36
SNAPSHOT,repo,README.md,1,1,1,1,1,1,1,1,0,0,-,-,-,-,-,-,-,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/f15932adefc3bb90cdcc10d27799c9828518e168/pom.xml#L156
URL,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/4926b5bf0e4be88f7a09badd145c50fa8a95e1cc/src/main/java/dswebquerytobigquery/WebQuery.java#L26
WebQuery,repo,README.md,17,17,17,17,17,17,17,17,17,17,15,15,15,16,16,16,16,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/WqToBqDataTypeMapper.java#L19
datasetId,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/ConfigReader.java#L41
fatJar,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/build.gradle#L35
gcsBucketName,repo,README.md,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/StorageController.java#L47
load,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/TransferConfig.java#L19
projectId,repo,README.md,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/ConfigReader.java#L40
sample-config.csv,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,code_element is a file name
src/resources/client_secrets.json,repo,README.md,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-,-,-,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,code_element is a file name
tableId,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/ConfigReader.java#L42
webQueryUrl,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/README.md,https://github.com/google/sa360-webquery-bigquery/blob/d3b7e53434b57d9dffb249b82eb57c44771bc43c/src/main/java/dswebquerytobigquery/ConfigReader.java#L44
