code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,doc_link,source_link
:,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,913,944,977,978,981,981,993,993,1006,1016,1016,1030,1032,1032,1037,1037,1041,1041,1042,1042,1042,1042,1042,1043,1044,1051,1052,1054,1060,1071,1071,1071,1072,1072,1072,1072,1076,1080,1080,1080,1089,1089,1089,1092,1093,1098,1098,1111,1113,1119,1136,1145,1146,1146,1146,1149,1150,1150,1150,1152,1152,1152,1185,1185,1196,1205,1205,1205,1201,1201,1201,1201,1211,1210,1210,1210,1210,1210,1210,1210,1220,1231,1231,1231,1231,1231,1232,1233,1234,1234,1234,1234,1234,1235,1242,1232,1232,1295,1308,1308,1308,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/test/fixtures/rules/rule_x.py#L8
BUILD,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,52,52,52,52,52,52,52,52,52,52,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,61,61,61,61,61,65,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/anvil/util.py#L32
JavaScript,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/anvil/rules/closure_js_rules.py#L148
TODO,repo,README.md,.,.,.,33,33,34,34,34,33,33,33,33,48,48,48,53,54,54,54,55,55,61,61,62,63,63,65,65,62,62,62,63,63,63,63,63,64,64,64,64,64,64,64,64,64,65,65,65,69,69,69,69,69,69,69,69,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,75,75,75,75,75,75,74,71,71,71,71,71,71,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/run-coverage.sh#L8
build,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,120,131,131,131,131,133,133,136,136,136,136,137,139,143,143,144,144,145,145,143,143,143,143,146,147,147,147,147,149,149,149,149,149,149,149,149,149,149,149,150,150,152,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,156,156,161,161,161,161,161,162,162,162,162,162,162,162,162,162,162,162,163,163,163,163,163,163,165,165,165,165,165,165,165,165,165,166,166,166,166,166,166,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/test/fixtures/simple/BUILD#L1
clean,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/anvil/commands/util.py#L26
concat_files,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/test/fixtures/core_rules/concat_files/BUILD#L1
copy_files,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/test/fixtures/core_rules/copy_files/dir/BUILD#L4
depends,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/anvil/rule.py#L27
deploy,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/README.md,https://github.com/google/anvil-build/blob/01f6f89426308904cc5eaf9f7ab64038f84ea191/anvil/commands/deploy_command.py#L8
