code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
ANY,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L147
AS,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L146
BASIS,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L146
CONDITIONS,repo,README.md,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L6
GitHub,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/CONTRIBUTING.md#L21
IS,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L146
KIND,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L147
LICENSE,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L196
OF,repo,README.md,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L147
OR,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L147
WARRANTIES,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L147
WITHOUT,repo,README.md,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/18d1acfab69a7ffd8d4a37f1e7793187646f56fd/LICENSE#L147
chrome_ext,repo,README.md,-,-,70,70,70,70,70,70,70,70,70,71,71,71,71,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/931cca8c1f0dd82ab1431e0462945758bd7f0277/docs/deployment.md#L40
deb:detanglenm_deb,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,1,1,1,1,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/931cca8c1f0dd82ab1431e0462945758bd7f0277/docs/deployment.md#L19
native_messaging,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,6,6,6,6,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/931cca8c1f0dd82ab1431e0462945758bd7f0277/native_messaging/detanglenm.go#L24
native_messaging:detanglenm,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/detangle/blob/c817796f4e5bada0a931e107f88aace87db08aa6/README.md,https://github.com/google/detangle/blob/931cca8c1f0dd82ab1431e0462945758bd7f0277/native_messaging/deb/BUILD#L5
