code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
2D,repo,README.md,.,15,15,15,15,15,15,15,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/golang.org/x/net/vendor/golang.org/x/text/encoding/testdata/sunzi-bingfa-gb-levels-1-and-2-hz-gb2312.txt#L25
BSD,repo,README.md,.,844,844,844,844,844,844,844,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/google.golang.org/appengine/vendor/golang.org/x/net/context/withtimeout_test.go#L2
HTML,repo,README.md,.,181,181,181,181,181,181,181,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/google.golang.org/appengine/search/search_test.go#L25
LICENSE,repo,README.md,.,1542,1542,1542,1542,1542,1542,1542,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/google.golang.org/appengine/xmpp/xmpp_test.go#L3
PROJECT,repo,README.md,.,-,-,-,-,6,6,6,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/cloud.google.com/go/preview/logging/logadmin/logadmin.go#L175
SDK,repo,README.md,.,-,-,-,-,38,38,38,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/google.golang.org/appengine/internal/api_test.go#L363
URL,repo,README.md,.,-,-,-,-,1802,1802,1802,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/src/google.golang.org/appengine/vendor/github.com/golang/protobuf/ptypes/any/any.proto#L44
third_party,repo,README.md,.,16,16,16,16,16,16,16,https://github.com/google/web-bsd-hunt/blob/faf625442a77f4bc272c10b4543db918f4fe5564/README.md,https://github.com/google/web-bsd-hunt/blob/816697bb76d15bb2398d1c5151db80a963065299/third_party/Makefile#L18
