code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
--embed-logo,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/tests/test-badges.json#L88
--help,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/pybadges/precalculate_text.py#L40
--left-text,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/pybadges/__main__.py#L35
--logo,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/pybadges/__main__.py#L64
Af8iHnLUAAAAAElFTkSuQmCC,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/tests/test_pybadges.py#L33
CircleCI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/twine_upload.sh#L19
HTTP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/tests/image_server.py#L14
JavaScript,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/pybadges/__init__.py#L16
LICENSE,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/twine_upload.sh#L9
SVG,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,https://github.com/google/pybadges/blob/5757edc8c946f64eec67b6ccfeb38982c6e12144/README.md,https://github.com/google/pybadges/blob/5973dbf35dc32d394166a6d4db7693ecb65a8452/tests/test_pybadges.py#L104
