code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
$APIKEY,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/cmd/wrserver/main.go#L244
/r,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/cmd/wrserver/main.go#L72
ANY_PLATFORM,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/webrisk_client_system_test.go#L85
API,repo,README.md,73,73,73,73,73,73,73,73,73,73,73,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/webrisk_client_system_test.go#L26
APIKEY,repo,README.md,0,0,0,0,1,1,1,1,1,1,1,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/webrisk_client_system_test.go#L29
JSON,repo,README.md,10,10,10,11,11,11,11,11,11,11,11,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/internal/webrisk_proto/webrisk.proto#L127
MALWARE,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/webrisk_client_system_test.go#L85
POST,repo,README.md,4,4,4,2,2,2,2,2,2,2,2,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/cmd/wrserver/main.go#L85
SOCIAL_ENGINEERING,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/internal/webrisk_proto/webrisk.proto#L194
STDIN,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/webrisk/blob/8d1fb89ab3f821e4e3c28bb976aca5b64575c7ea/README.md,https://github.com/google/webrisk/blob/030b4b9756faec31b878216dfb8235e2dbea4ad2/cmd/wrlookup/main.go#L17
