code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
/usr/bin/python3,repo,README.md,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/46cce6b1405986edc26a3679a825fce7dfd62c8b/setup.py#L43
Colab,repo,README.md,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/notebook/post_analysis_colab_for_trimmed_match.ipynb#L327
DataFrame,repo,README.md,75,72,72,72,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L34
GeoXType,repo,README.md,38,36,36,36,36,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/fa5c27fe12cf44031d5cb50f7576c7c8e8162be9/trimmed_match/design/trimmed_match_design.py#L20
GeoXType.HEAVY_UP,repo,README.md,7,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L20
LLC,repo,README.md,30,29,29,29,29,29,29,29,29,28,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L1
PYTHON_BIN_PATH,repo,README.md,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/setup.py#L98
TimeWindow,repo,README.md,27,23,23,23,23,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/fa5c27fe12cf44031d5cb50f7576c7c8e8162be9/trimmed_match/design/trimmed_match_design.py#L59
TrimmedMatch,repo,README.md,30,30,30,30,30,30,30,-,30,30,31,31,31,31,31,31,31,37,37,37,37,37,37,41,41,41,41,41,41,41,41,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L128
TrimmedMatchGeoXDesign,repo,README.md,10,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/fa5c27fe12cf44031d5cb50f7576c7c8e8162be9/trimmed_match/design/trimmed_match_design.py#L34
