code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
CBOR,repo,README.md,7,9,9,9,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,27,26,26,26,26,26,26,26,26,29,29,29,29,29,29,29,29,29,29,34,34,34,40,40,40,40,40,40,41,41,41,35,36,37,39,43,44,44,44,44,44,44,44,45,45,45,46,46,46,46,46,46,46,49,49,49,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/util/mod.rs#L29
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/.github/workflows/ci.yml#L1
COSE,repo,README.md,22,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/lib.rs#L17
From,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/iana/mod.rs#L67
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/CONTRIBUTING.md#L21
Integer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,27,27,27,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/util/mod.rs#L20
MSRV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/CHANGELOG.md#L21
RFC,repo,README.md,9,11,11,11,11,11,15,15,15,15,15,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/sign/tests.rs#L601
TODO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/scripts/check-format.sh#L50
alloc,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,21,21,21,21,21,21,23,23,23,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/util/tests.rs#L19
