code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
1x,repo,README.md,0,0,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L221
3D,repo,README.md,0,6,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/third_party/pycolmap/pycolmap/scene_manager.py#L191
@article,repo,README.md,0,0,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Training.ipynb#L54
COLMAP,repo,README.md,0,4,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/third_party/pycolmap/pycolmap/database.py#L261
Camera,repo,README.md,0,19,23,23,25,25,25,25,25,25,25,25,25,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/third_party/pycolmap/pycolmap/scene_manager.py#L9
ICCV,repo,README.md,-,-,-,-,0,2,2,2,2,2,2,2,2,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Training.ipynb#L63
ID,repo,README.md,0,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/nerfies/datasets/core.py#L416
JAX,repo,README.md,0,1,1,1,3,3,3,3,3,3,3,3,3,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/nerfies/tf_camera.py#L109
JSON,repo,README.md,0,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/nerfies/datasets/nerfies.py#L93
MrKrnHhk8IA,repo,README.md,0,0,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Training.ipynb#L30
NeRF,repo,README.md,0,12,13,13,17,17,17,17,17,17,17,17,17,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L984
PNG,repo,README.md,0,0,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L165
appearance_id,repo,README.md,0,5,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L1367
arXiv,repo,README.md,0,0,2,2,-,-,-,-,-,-,-,-,-,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/379431085e4eee5f5cf3d0742a426ff57c0297ea/notebooks/Nerfies_Training.ipynb#L64
arXiv:2011,repo,README.md,0,0,2,2,-,-,-,-,-,-,-,-,-,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/379431085e4eee5f5cf3d0742a426ff57c0297ea/notebooks/Nerfies_Training.ipynb#L64
base_folder,repo,README.md,-,-,-,-,6,6,6,6,6,6,6,6,6,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/train.py#L46
camera,repo,README.md,0,90,145,145,173,176,176,176,176,176,176,176,176,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/third_party/pycolmap/pycolmap/scene_manager.py#L9
camera-paths,repo,README.md,0,1,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Render_Video.ipynb#L336
camera.py,repo,README.md,0,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,code_element is a file name
camera_id,repo,README.md,0,33,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/third_party/pycolmap/pycolmap/scene_manager.py#L105
data_dir,repo,README.md,0,22,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/train.py#L48
dataset.json,repo,README.md,0,1,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L1331
exp_dir,repo,README.md,0,25,25,25,-,-,-,-,-,-,-,-,-,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/379431085e4eee5f5cf3d0742a426ff57c0297ea/train.py#L46
focal_length,repo,README.md,0,13,14,14,20,20,20,20,20,20,20,20,20,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L488
gin_configs,repo,README.md,0,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/train.py#L50
gpu_fullhd.gin,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,code_element is a file name
gpu_quarterhd.gin,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,code_element is a file name
gpu_quarterhd_4gpu.gin,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,code_element is a file name
gpu_vrig_paper.gin,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,code_element is a file name
image_size,repo,README.md,0,12,13,13,21,21,21,21,21,21,21,21,21,https://github.com/google/nerfies/blob/a6f604e67332c05d68c662540059f16dc60ea343/README.md,https://github.com/google/nerfies/blob/1a38512214cfa14286ef0561992cca9398265e13/notebooks/Nerfies_Capture_Processing.ipynb#L494
