code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
ANY,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L147
AS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L146
BASIS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L146
CONDITIONS,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L6
GitHub,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/docs/contributing.md#L21
IS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L146
KIND,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L147
LICENSE,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L196
OF,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L147
OR,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L147
README,repo,README.md,-,-,-,-,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/.github/PULL_REQUEST_TEMPLATE.md#L6
WARRANTIES,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L147
WITHOUT,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/README.md,https://github.com/google/new-project/blob/b9f0381c5a41836451c244fa55a82bc5afc7df3a/LICENSE#L147
